dispatcher,reopt,original_load
1040.49,1040.49,1106.9
888.56,888.56,888.56
864.13,864.13,864.13
664.81,664.81,664.81
647.97,640.38,640.38
412.43,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
351.02,310.56,310.56
325.32,322.79,322.79
412.43,384.61,384.61
465.83,465.83,465.83
530.67,500.329,588.26
890.18,890.177,1275.53
446.89,446.89,1244.33
242.98,242.977,1245.52
407.67,407.665,1259.2
815.21,815.21,1213.93
568.68,568.684,1271.3
549.01,549.012,1282.54
787.53,788.338,1295.04
1040.49,1040.49,1341.1
1040.49,1040.49,1192.42
947.21,947.21,947.21
864.09,864.09,864.09
675.91,675.91,675.91
727.37,707.14,707.14
412.43,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
318.15,310.56,310.56
351.02,310.56,310.56
351.02,310.56,310.56
325.32,322.79,322.79
412.43,384.61,384.61
476.01,465.75,465.75
578.17,568.189,588.24
1040.49,1040.49,1275.59
1040.49,1040.49,1238.87
249.58,249.578,1189.88
1.49,0,1189.88
0.00,0,1140.59
78.31,118.164,1215.74
114.03,38.6331,1276.77
578.71,581.309,1332.59
992.68,993.831,1381.69
1040.49,1040.49,1213.15
926.83,926.83,926.83
861.94,864.04,864.04
675.87,675.87,675.87
684.84,684.84,684.84
384.61,384.61,384.61
322.79,322.79,322.79
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
272.94,272.94,272.94
297.39,297.39,297.39
465.74,465.74,465.74
395.46,395.46,428.46
543.73,543.731,777.24
433.92,433.919,740.53
0.00,0,702.7
0.00,0,691.52
0.00,0,734.64
0.00,0,802.75
0.00,0,490.57
0.00,0,504.03
2.35,0,549.56
264.53,438.609,484.35
347.65,370.72,370.72
342.09,346.28,346.28
342.09,346.28,346.28
309.26,321.84,321.84
297.39,115.452,297.39
264.55,272.94,272.94
258.62,260.72,260.72
258.62,260.72,260.72
258.62,260.72,260.72
258.62,174.446,260.72
264.55,272.94,272.94
297.39,297.39,297.39
342.09,346.28,346.28
290.32,292.421,309.13
164.30,185.274,309.13
0.00,0,272.46
