original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
7681,7681,0,310.56,3.63E+02,310.56
7682,7682,0,310.56,3.63E+02,310.56
7683,7683,0,310.56,3.63E+02,310.56
7684,7684,0,322.79,3.58E+02,322.79
7685,7685,0,384.61,4.37E+02,384.61
7686,7686,0,650.11,7.02E+02,650.11
7687,7597.050919,0.0413793,759.65,7.04E+02,759.65
7688,7170.762297,0.237945,1182.68,1.14E+03,1462.03
7689,6892.643708,0.366348,1182.68,1.14E+03,1427.16
7690,6641.840713,0.482185,1182.68,1.14E+03,1379.8
7691,6531.335007,0.533481,1182.68,1.14E+03,1377.43
7692,6669.028186,0.470598,1182.68,1.14E+03,1321.29
7693,6912.560052,0.359026,1182.68,1.14E+03,1370.67
7694,7167.339004,0.24228,1182.68,1.14E+03,1369.3
7695,7632.537589,0.0287346,1182.68,1.14E+03,1365.79
7696,7696,0,1182.68,1.14E+03,1430.39
7697,7697,0,1182.68,1.14E+03,1304.4
7698,7698,0,1044.5,1.04E+03,1044.5
7699,7699,0,1010.23,1.01E+03,1010.23
7700,7700,0,806.41,8.06E+02,806.41
7701,7701,0,770.09,7.70E+02,770.09
7702,7702,0,384.61,3.85E+02,384.61
7703,7703,0,322.79,3.23E+02,322.79
7704,7704,0,260.72,2.61E+02,260.72
7705,7705,0,260.72,2.61E+02,260.72
7706,7706,0,260.72,2.61E+02,260.72
7707,7707,0,260.72,2.61E+02,260.72
7708,7708,0,294.66,2.95E+02,294.66
7709,7709,0,316.99,3.17E+02,316.99
7710,7710,0,591.94,5.92E+02,591.94
7711,7566.492335,0.0664779,207.345,1.94E+02,518.27
7712,7037.463953,0.310307,15.3339,5.86E+00,855.31
7713,6677.196421,0.476501,126.375,7.45E+01,838.52
7714,6476.098851,0.569472,0,-3.02E+02,805.85
7715,6387.756904,0.610572,0,-2.49E+02,831.98
7716,6509.440266,0.555054,0,-4.26E+02,847
7717,7385.406603,0.152543,0,-2.58E+02,848.94
7718,7568.163338,0.0689294,0,-2.93E+02,502.12
7719,7626.516303,0.0425453,0,-3.70E+00,486.03
7720,7720,0,419.868,3.28E+02,534.77
7721,7721,0,490.32,4.25E+02,490.32
7722,7722,0,370.72,3.06E+02,370.72
7723,7723,0,40.7214,2.89E+02,354.39
7724,7724,0,347.94,2.83E+02,347.94
7725,7725,0,323.97,2.59E+02,323.97
